日付,勘定科目,品目,金額
2023/7/31,事業費（6116T）,海の日プレゼントとうもろこし代,10000
2023/7/31,事業費（6116T）,海の日イベント協力者昼食代,700
2023/7/31,役員報酬（6211）,役員給与（１名）,250000
2023/7/31,役員報酬（6211）,役員賞与（1名）,250000
2023/7/31,役員報酬（6211）,役員報酬（4名）,280000
2023/7/31,従業員給与（6212）,従業員給与（１名）,196500
2023/7/31,従業員賞与（6213）,従業員賞与（１名）,160000
2023/7/31,販売員賞与（6213）,パート賞与（９名）,535000
2023/7/31,法定福利費（6312）,唐津社会保険事務所社会保険料,132077
2023/7/31,事務用消耗品費（6217）,電子複写機コピー代,2979
2023/7/31,通信交通費（6218）,ＮＴＴファイナンス通話料,10441
2023/7/31,水道光熱費（6219）,電気料金・・・電灯,116131
2023/7/31,水道光熱費（6219）,電気料金・・・電力,164682
2023/7/31,接待交際費（6223）,生産者集会お茶代,2700
2023/7/31,接待交際費（6223）,佐賀県道の駅駅長会意見交換会会費,6000
2023/7/31,備品・消耗品費（6225）,トイレットペーパー代・・・7月14日,7920
2023/7/31,備品・消耗品費（6225）,トイレットペーパー代・・・7月24日,7920
2023/7/31,備品・消耗品費（6225）,トイレットペーパー代・・・7月31日,7920
2023/7/31,備品・消耗品費（6225）,水切りネット代,220
2023/7/31,備品・消耗品費（6225）,虫よけネットほか代,4826
2023/7/31,備品・消耗品費（6225）,ペーパータオル代,4913
2023/7/31,備品・消耗品費（6225）,マジックほか代,2243
2023/7/31,備品・消耗品費（6225）,ポリエチレン手袋代,1100
2023/7/31,備品・消耗品費（6225）,石鹸代,200
2023/7/31,備品・消耗品費（6225）,ゼリー用スプーン代・・・7月28日,110
2023/7/31,備品・消耗品費（6225）,割箸代,837
2023/7/31,備品・消耗品費（6225）,ソフト用アルコールスプレー代,7260
2023/7/31,運営管理諸費（6227A）,東芝テックポスレジシステムリース料,69696
2023/7/31,運営管理諸費（6227A）,くすもと税理士事務所顧問報酬,55000
2023/7/31,施設管理諸費（6227B）,中央警備保障機械警備料,37400
2023/7/31,施設管理諸費（6227B）,クリーン・リース代,2662
2023/7/31,施設管理諸費（6227B）,塵芥収集運搬料,60500
2023/7/31,施設管理諸費（6227B）,サーキュレーター取付・配線工事代,14300
2023/7/31,施設管理諸費（6227B）,消防設備保守点検業務,17050
2023/7/31,施設管理諸費（6227B）,道の駅草払い等処理業務,22500
2023/7/31,施設管理諸費（6227B）,自動ドア装置保守点検業務,13200
2023/7/31,車両費（6228）,ガソリン代・・・江頭火薬石油・・・7月14日,3000
2023/7/31,車両費（6228）,ガソリン代・・・JA唐津厳木SS・・・7月28日,3000
2023/7/31,リース料（6234）,ソフトサーバーリース代,15510
2023/7/31,雑費(6231),コカ・コーラ振込手数料・・・7月18日分,660
2023/7/31,雑費(6231),佐賀富士ベンディング振込手数料,660
2023/7/31,雑費(6231),振込手数料（牛津かまぼこ）,660
2023/7/31,雑費(6231),振込手数料（やまや）,660
2023/7/31,雑費(6231),振込手数料（コロンブスかわの）,110
2023/7/31,雑費(6231),振込手数料（MonotaRO）,660
2023/7/31,受取利息割引料,預金利息,0
2023/7/31,雑収入（7118）,雇用保険料預り（６月分）,4754
2023/7/31,雑収入（7118）,雇用保険料預り（賞与分）,6504
2023/8/31,商品売上高（4111）,野菜等,705315
2023/8/31,商品売上高（4111）,温泉たまご,77850
2023/8/31,商品売上高（4111）,あら塩・灘の塩（食塩）,2660
2023/8/31,商品売上高（4111）,オロナミンC（トライアル）,5500
2023/8/31,商品売上高（4111）,伊藤園お～いお茶・健康ミネラル麦茶ほか,193540
2023/8/31,商品売上高（4111）,黒糖・嬉野茶ドーナツ棒,30875
2023/8/31,商品売上高（4111）,白菜浅漬け・なす・きゅうりからし漬けの素,4050
2023/8/31,商品売上高（4111）,佐賀県産たまねぎスープ・海苔スープ・たまねぎチップ・佐賀牛ポテトチップ・明太子チップ,88990
2023/8/31,商品売上高（4111）,粉末うどん・ちゃんぽんスープ,1850
2023/8/31,商品売上高（4111）,天ぷら・ちくわほか,20110
2023/8/31,商品売上高（4111）,わさびドレッシング・こいくち醬油・カレー,31565
2023/8/31,商品売上高（4111）,やまや（明太トースト）,10260
2023/8/31,商品売上高（4111）,いきさ屋（豆腐）,50610
2023/8/31,商品売上高（4111）,ソフトクリーム・コーン,1557660
2023/8/31,商品売上高（4111）,シンセイ商事（しょうが湯ほか）,160
2023/8/31,商品売上高（4111）,ゼリー,2600
2023/8/31,商品売上高（4111）,野菜袋（アサヒ）,24080
2023/8/31,商品売上高（4111）,中島潔グッズ,5605
2023/8/31,商品売上高（4111）,クロネコヤマト宅急便,14640
2023/8/31,商品売上高（4111）,道の駅切符,3060
2023/8/31,商品売上高（4111）,連絡線記念指定券,1600
2023/8/31,商品売上高（4111）,道の駅スタンプブック,3240
2023/8/31,商品売上高（4111）,指定ごみ袋,29700
2023/8/31,商品売上高（4111）,粗大ごみ処理券,1000
2023/8/31,商品売上高（4111）,チオビタ,2900
2023/8/31,商品売上高（4111）,ソフトクリームスプーン,1070
2023/8/31,商品売上高（4111）,ソフトクリームカップ（アサヒ）,750
2023/8/31,商品売上高（4111）,キティちゃんグッズ,550
2023/8/31,商品売上高（4111）,ローソク・線香・マッチ・のし袋・ライター・紙コップ類,355
2023/8/31,商品売上高（4111）,アルミ保温保冷バッグ,1440
2023/8/31,商品売上高（4111）,レジ袋,15115
2023/8/31,手数料収入（4112）,風のふるさと館委託販売手数料,2799087
2023/8/31,その他の収入（4114）,バーコードラベル代金,35288
2023/8/31,その他の収入（4114）,コカ・コーラ自販機手数料,81171
2023/8/31,その他の収入（4114）,アルミ缶売却料,6500
2023/8/31,その他の収入（4114）,テナント使用料,45250
2023/8/31,その他の収入（4114）,テナント電気料,62581
2023/8/31,その他の収入（4114）,テナント水道料,40026
2023/8/31,その他の収入（4114）,アイコス実演販売賃借料,2000
2023/8/31,その他の収入（4114）,アイコス実演販売賃借料,2000
2023/8/31,その他の収入（4114）,アイコス実演販売賃借料,2000
2023/8/31,その他の収入（4114）,団子店頭販売賃借料,9000
2023/8/31,その他の収入（4114）,団子店頭販売賃借料,6000
2023/8/31,商品仕入高（5211）,野菜・・・辻青果,566970
2023/8/31,商品仕入高（5211）,たまご,37908
2023/8/31,商品仕入高（5211）,温泉たまご用塩代,25272
2023/8/31,商品仕入高（5211）,オロナミンC（トライアル）・・・8月18日,3156
2023/8/31,商品仕入高（5211）,伊藤園お茶ほか・・・8月7日,45230
2023/8/31,商品仕入高（5211）,伊藤園お茶ほか・・・8月14日,42508
2023/8/31,商品仕入高（5211）,伊藤園お茶ほか・・・8月21日,23094
2023/8/31,商品仕入高（5211）,伊藤園お茶ほか・・・8月28日,14463
2023/8/31,商品仕入高（5211）,佐賀牛ポテトチップほか・・・8月10日,14191
2023/8/31,商品仕入高（5211）,佐賀牛ポテトチップほか・・・8月18日,37843
2023/8/31,商品仕入高（5211）,黒糖ドーナツ棒,17668
2023/8/31,商品仕入高（5211）,天ぷら・ちくわほか,22118
2023/8/31,商品仕入高（5211）,わさびドレッシングほか・・・8月10日,19942
2023/8/31,商品仕入高（5211）,ジャージーミックスほか,1040128
2023/8/31,商品仕入高（5211）,いきさ屋豆腐,43306
2023/8/31,商品仕入高（5211）,くだものゼリー・・・8月10日,771
2023/8/31,商品仕入高（5211）,くだものゼリーほか・・・8月18日,732
2023/8/31,商品仕入高（5211）,野菜等袋代・・・アサヒ,73095
2023/8/31,商品仕入高（5211）,クロネコヤマト宅急便他運賃料,16764
2023/8/31,商品仕入高（5211）,ヤマト運輸振込手数料,330
2023/8/31,商品仕入高（5211）,ソフトクリーム用スプーン,880
2023/8/31,商品仕入高（5211）,ソフトクリーム用スプーン,2831
2023/8/31,商品仕入高（5211）,ソフトクリーム用スプーン,19140
2023/8/31,商品仕入高（5211）,アルミ保温保冷バッグ,1100
2023/8/31,商品仕入高（5211）,チオビタドリンク・・・8月18日,2895
2023/8/31,販売員給与（6111）,パート（９名）,866470
2023/8/31,広告宣伝費（6113）,第49回厳木納涼花火大会協賛金,5000
2023/8/31,広告宣伝費（6113）,唐津・虹ノ松原ツーデーウォーク広告協賛金,10000
2023/8/31,役員報酬（6211）,役員給与（１名）,250000
2023/8/31,従業員給与（6212）,従業員給与（１名）,196500
2023/8/31,法定福利費（6312）,唐津社会保険事務所社会保険料・・・給与,132077
2023/8/31,法定福利費（6312）,唐津社会保険事務所社会保険料・・・賞与,115015
2023/8/31,修繕費（6216）,避難口誘導灯電池取替修繕費他,23980
2023/8/31,修繕費（6216）,ソフトクリームサーバーパッキンセットほか,13310
2023/8/31,事務用消耗品費（6217）,電子複写機コピー代,4437
2023/8/31,事務用消耗品費（6217）,コピー用紙代,2640
2023/8/31,事務用消耗品費（6217）,フラットファイル代,1173
2023/8/31,通信交通費（6218）,ＮＴＴファイナンス通話料,10934
2023/8/31,水道光熱費（6219）,電気料金・・・電灯,182389
2023/8/31,水道光熱費（6219）,電気料金・・・電力,282270
2023/8/31,水道光熱費（6219）,水道料金,57952
2023/8/31,備品・消耗品費（6225）,トイレットペーパー代・・・8月18日,7920
2023/8/31,備品・消耗品費（6225）,トイレットペーパー代・・・8月25日,7920
2023/8/31,備品・消耗品費（6225）,グラスワイパー代,3480
2023/8/31,備品・消耗品費（6225）,ゼリー用スプーン代,279
2023/8/31,備品・消耗品費（6225）,ソフト機械清掃用洗剤代,790
2023/8/31,備品・消耗品費（6225）,筆ペン代,958
2023/8/31,備品・消耗品費（6225）,セメダイン代,110
2023/8/31,備品・消耗品費（6225）,ごみ箱代,2790
2023/8/31,備品・消耗品費（6225）,ポリエチレン手袋代,550
2023/8/31,備品・消耗品費（6225）,外掃除用キッチンハイター代,2380
2023/8/31,備品・消耗品費（6225）,ペーパータオル代,4046
2023/8/31,備品・消耗品費（6225）,ソフトクリームポップ,1796
2023/8/31,備品・消耗品費（6225）,レジロール紙代,19360
2023/8/31,備品・消耗品費（6225）,消毒液代,3553
2023/8/31,備品・消耗品費（6225）,消毒液運送費,440
2023/8/31,備品・消耗品費（6225）,エアコン風よけカバー代,2739
2023/8/31,運営管理諸費（6227A）,くすもと税理士事務所顧問報酬,55000
2023/8/31,施設管理諸費（6227B）,中央警備保障機械警備料,37400
2023/8/31,施設管理諸費（6227B）,クリーン・リース代,4246
2023/8/31,施設管理諸費（6227B）,塵芥収集運搬料,60500
2023/8/31,施設管理諸費（6227B）,衛生害虫駆除業務,10395
2023/8/31,車両費（6228）,ガソリン代・・・江頭火薬石油・・・8月21日,3000
2023/8/31,車両費（6228）,ガソリン代・・・JA唐津厳木SS・・・8月31日,2822
2023/8/31,車両費（6228）,ガソリン代・・・JA唐津厳木SS・・・8月31日,2500
2023/8/31,リース料（6234）,ソフトサーバーリース代,15510
2023/8/31,会費（6313）,第１５回新任駅長研修会,5000
2023/8/31,雑費(6231),コカ・コーラ振込手数料・・・8月18日分,660
2023/8/31,雑費(6231),振込手数料（牛津かまぼこ）,275
2023/8/31,受取利息割引料,貯金利息・・・風のふるさと館,35
2023/8/31,受取利息割引料,貯金利息・・・日々売上,45
2023/8/31,受取利息割引料,貯金利息・・・釣銭両替,2
2023/8/31,雑収入（7118）,雇用保険料預り（7月分）,5652
2023/9/30,商品売上高（4111）,野菜等,645435
2023/9/30,商品売上高（4111）,温泉たまご,74850
2023/9/30,商品売上高（4111）,あら塩・灘の塩（食塩）,970
2023/9/30,商品売上高（4111）,オロナミンC（トライアル）,4620
2023/9/30,商品売上高（4111）,伊藤園お～いお茶・健康ミネラル麦茶ほか,140520
2023/9/30,商品売上高（4111）,黒糖・嬉野茶ドーナツ棒,22860
2023/9/30,商品売上高（4111）,白菜浅漬け・なす・きゅうりからし漬けの素,3860
2023/9/30,商品売上高（4111）,佐賀県産たまねぎスープ・海苔スープ・たまねぎチップ・佐賀牛ポテトチップ・明太子チップ,72630
2023/9/30,商品売上高（4111）,粉末うどん・ちゃんぽんスープ,1140
2023/9/30,商品売上高（4111）,天ぷら・ちくわほか,23100
2023/9/30,商品売上高（4111）,わさびドレッシング・こいくち醬油・カレー,17690
2023/9/30,商品売上高（4111）,やまや（明太トースト）,7220
2023/9/30,商品売上高（4111）,いきさ屋（豆腐）,53095
2023/9/30,商品売上高（4111）,ミルン（ヨーグルト・チーズ・牛乳）,9060
2023/9/30,商品売上高（4111）,ソフトクリーム・コーン,1038200
2023/9/30,商品売上高（4111）,ゼリー,2160
2023/9/30,商品売上高（4111）,野菜袋・ソフトクリームカップ（アサヒ）,40745
2023/9/30,商品売上高（4111）,中島潔グッズ,2805
2023/9/30,商品売上高（4111）,クロネコヤマト宅急便,13660
2023/9/30,商品売上高（4111）,宅配料コレクト,3565
2023/9/30,商品売上高（4111）,道の駅切符,2520
2023/9/30,商品売上高（4111）,連絡線記念指定券,1800
2023/9/30,商品売上高（4111）,指定ごみ袋,28300
2023/9/30,商品売上高（4111）,粗大ごみ処理券,1400
2023/9/30,商品売上高（4111）,チオビタ,1500
2023/9/30,商品売上高（4111）,ソフトクリームスプーン,620
2023/9/30,商品売上高（4111）,ローソク・線香・マッチ・のし袋・ライター・紙コップ類,50
2023/9/30,商品売上高（4111）,アルミ保温保冷バッグ,1440
2023/9/30,商品売上高（4111）,レジ袋,13955
2023/9/30,商品売上高（4111）,団子花,15800
2023/9/30,手数料収入（4112）,風のふるさと館委託販売手数料,2477781
2023/9/30,その他の収入（4114）,バーコードラベル代金,32382
2023/9/30,その他の収入（4114）,コカ・コーラ自販機手数料,106381
2023/9/30,その他の収入（4114）,佐賀富士ベンディング自販機手数料,175375
2023/9/30,その他の収入（4114）,テナント使用料,45250
2023/9/30,その他の収入（4114）,やきいもキッチンカー出店料,2000
2023/9/30,その他の収入（4114）,アイコス実演販売賃借料・・・9月8日,2000
2023/9/30,その他の収入（4114）,アイコス実演販売賃借料・・・9月12日,2000
2023/9/30,その他の収入（4114）,アイコス実演販売賃借料・・・9月15日,2000
2023/9/30,その他の収入（4114）,アイコス実演販売賃借料・・・9月29日,2000
2023/9/30,その他の収入（4114）,団子店頭販売賃借料・・・9月19日,6000
2023/9/30,その他の収入（4114）,団子店頭販売賃借料・・・9月25日,6000
2023/9/30,その他の収入（4114）,ピザキッチンカー出店料,3000
2023/9/30,商品仕入高（5211）,野菜・・・辻青果,482680
2023/9/30,商品仕入高（5211）,たまご,33696
2023/9/30,商品仕入高（5211）,伊藤園お茶ほか・・・9月4日,25764
2023/9/30,商品仕入高（5211）,伊藤園お茶ほか・・・9月11日,17470
2023/9/30,商品仕入高（5211）,伊藤園お茶ほか・・・9月19日,23276
2023/9/30,商品仕入高（5211）,伊藤園お茶ほか・・・9月25日,14670
2023/9/30,商品仕入高（5211）,伊藤園お茶ほか・・・10月2日,21014
2023/9/30,商品仕入高（5211）,佐賀県産たまねぎスープほか・・・9月15日,57877
2023/9/30,商品仕入高（5211）,佐賀県産たまねぎスープほか・・・9月15日,44236
2023/9/30,商品仕入高（5211）,からし漬けの素・・・9月8日,7776
2023/9/30,商品仕入高（5211）,黒糖ドーナツ棒,27064
2023/9/30,商品仕入高（5211）,天ぷら・ちくわほか,20520
2023/9/30,商品仕入高（5211）,伊万里ちゃんぽんスープ・・・9月15日,1458
2023/9/30,商品仕入高（5211）,唐津くんちカレー・・・9月15日,20509
2023/9/30,商品仕入高（5211）,唐津くんちカレー・・・9月22日,31979
2023/9/30,商品仕入高（5211）,ジャージーミックスほか,656262
2023/9/30,商品仕入高（5211）,ミルン牛乳・ヨーグルトほか,10236
2023/9/30,商品仕入高（5211）,明太トースト・・・9月12日,12701
2023/9/30,商品仕入高（5211）,いきさ屋豆腐,40666
2023/9/30,商品仕入高（5211）,くだものゼリーほか・・・9月8日,1500
2023/9/30,商品仕入高（5211）,野菜等袋代・・・アサヒ,10560
2023/9/30,商品仕入高（5211）,クロネコヤマト宅急便他運賃料,32857
2023/9/30,商品仕入高（5211）,ヤマト運輸振込手数料,440
2023/9/30,商品仕入高（5211）,ソフトクリーム用スプーン,15950
2023/9/30,商品仕入高（5211）,指定ごみ袋,36000
2023/9/30,商品仕入高（5211）,粗大ごみ処理券,2700
2023/9/30,商品仕入高（5211）,バーコードラベル代,82280
2023/9/30,商品仕入高（5211）,団子花,11600
2023/9/30,販売員給与（6111）,パート（９名）,869240
2023/9/30,広告宣伝費（6113）,第26回厳木町中島山笠祭協賛金,5000
2023/9/30,役員報酬（6211）,役員給与（１名）,250000
2023/9/30,従業員給与（6212）,従業員給与（１名）,196500
2023/9/30,法定福利費（6312）,唐津社会保険事務所社会保険料,132077
2023/9/30,事務用消耗品費（6217）,電子複写機コピー代,3065
2023/9/30,事務用消耗品費（6217）,名刺用紙代,220
2023/9/30,事務用消耗品費（6217）,修正テープ代,220
2023/9/30,事務用消耗品費（6217）,領収証代,129
2023/9/30,事務用消耗品費（6217）,インボイス番号ゴム印,605
2023/9/30,通信交通費（6218）,ＮＴＴファイナンス通話料,11250
2023/9/30,通信交通費（6218）,インターネットプロバイダー料,22000
2023/9/30,通信交通費（6218）,切手代,840
2023/9/30,租税公課費（6221）,収入印紙代,2000
2023/9/30,備品・消耗品費（6225）,トイレットペーパー代・・・9月8日,7920
2023/9/30,備品・消耗品費（6225）,トイレットペーパー代・・・9月15日,7920
2023/9/30,備品・消耗品費（6225）,トイレットペーパー代・・・9月22日,7920
2023/9/30,備品・消耗品費（6225）,トイレットペーパー代・・・9月29日,7920
2023/9/30,備品・消耗品費（6225）,クモの巣ジェット代,1379
2023/9/30,備品・消耗品費（6225）,割箸代,1116
2023/9/30,備品・消耗品費（6225）,蒸したまご用袋代,13420
2023/9/30,備品・消耗品費（6225）,シャボネット代,3980
2023/9/30,備品・消耗品費（6225）,ペーパータオル代,4035
2023/9/30,運営管理諸費（6227A）,くすもと税理士事務所顧問報酬,55000
2023/9/30,運営管理諸費（6227A）,ふるさとシステム・インボイス対応費用,830500
2023/9/30,施設管理諸費（6227B）,中央警備保障機械警備料,37400
2023/9/30,施設管理諸費（6227B）,クリーン・リース代,3740
2023/9/30,施設管理諸費（6227B）,塵芥収集運搬料,60500
2023/9/30,施設管理諸費（6227B）,草払い処理業務,35200
2023/9/30,車両費（6228）,ガソリン代・・・JA唐津厳木SS・・・9月8日,3000
2023/9/30,車両費（6228）,ガソリン代・・・ENEOS・・・9月19日,3000
2023/9/30,車両費（6228）,ガソリン代・・・JA唐津厳木SS・・・10月2日,2000
2023/9/30,リース料（6234）,ソフトサーバーリース代,15510
2023/9/30,雑費(6231),コカ・コーラ振込手数料・・・9月18日分,660
2023/9/30,雑費(6231),振込手数料（牛津かまぼこ）,275
2023/9/30,雑費(6231),振込手数料（やまや）,275
2023/9/30,雑費(6231),振込手数料（コロンブスかわの）,110
2023/9/30,雑費(6231),食品衛生責任者講習会受講料,1100
2023/9/30,雑費(6231),JAバンクアンサーサービス手数料,1100
2023/9/30,雑収入（7118）,雇用保険料預り（８月分）,5423
2023/10/31,商品売上高（4111）,野菜等,876155
2023/10/31,商品売上高（4111）,温泉たまご,81690
2023/10/31,商品売上高（4111）,あら塩・灘の塩（食塩）,3090
2023/10/31,商品売上高（4111）,オロナミンC（トライアル）,5060
2023/10/31,商品売上高（4111）,伊藤園お～いお茶・健康ミネラル麦茶ほか,153440
2023/10/31,商品売上高（4111）,黒糖・嬉野茶ドーナツ棒,18190
2023/10/31,商品売上高（4111）,白菜浅漬け・なす・きゅうりからし漬けの素,3520
2023/10/31,商品売上高（4111）,佐賀県産たまねぎスープ・海苔スープ・たまねぎチップ・佐賀牛ポテトチップ・明太子チップ,83440
2023/10/31,商品売上高（4111）,粉末うどん・ちゃんぽんスープ,860
2023/10/31,商品売上高（4111）,天ぷら・ちくわほか,25720
2023/10/31,商品売上高（4111）,わさびドレッシング・こいくち醬油・カレー,65215
2023/10/31,商品売上高（4111）,やまや（明太トースト）,9880
2023/10/31,商品売上高（4111）,いきさ屋（豆腐）,56240
2023/10/31,商品売上高（4111）,ミルン（ヨーグルト・チーズ・牛乳）,12725
2023/10/31,商品売上高（4111）,ソフトクリーム・コーン,1008950
2023/10/31,商品売上高（4111）,野菜袋・ソフトクリームカップ（アサヒ）,53840
2023/10/31,商品売上高（4111）,中島潔グッズ,44490
2023/10/31,商品売上高（4111）,クロネコヤマト宅急便,17605
2023/10/31,商品売上高（4111）,宅配料コレクト,18730
2023/10/31,商品売上高（4111）,道の駅切符,2340
2023/10/31,商品売上高（4111）,連絡線記念指定券,800
2023/10/31,商品売上高（4111）,指定ごみ袋,31100
2023/10/31,商品売上高（4111）,粗大ごみ処理券,3570
2023/10/31,商品売上高（4111）,チオビタ,3700
2023/10/31,商品売上高（4111）,ソフトクリームスプーン,290
2023/10/31,商品売上高（4111）,ローソク・線香・マッチ・のし袋・ライター・紙コップ類,470
2023/10/31,商品売上高（4111）,アルミ保温保冷バッグ,1120
2023/10/31,商品売上高（4111）,レジ袋,15935
2023/10/31,手数料収入（4112）,風のふるさと館委託販売手数料,2851155
2023/10/31,その他の収入（4114）,バーコードラベル代金,37196
2023/10/31,その他の収入（4114）,コカ・コーラ自販機手数料,87136
2023/10/31,その他の収入（4114）,アルミ缶売却料,7500
2023/10/31,その他の収入（4114）,テナント使用料,45250
2023/10/31,その他の収入（4114）,テナント電気料,43907
2023/10/31,その他の収入（4114）,テナント水道料,44107
2023/10/31,その他の収入（4114）,やきいもキッチンカー出店料・・・10月20日,2000
2023/10/31,その他の収入（4114）,アイコス実演販売賃借料・・・10月6日,2000
2023/10/31,その他の収入（4114）,団子店頭販売賃借料・・・10月6日,12000
2023/10/31,その他の収入（4114）,団子店頭販売賃借料・・・10月30日,12000
2023/10/31,その他の収入（4114）,ピザキッチンカー出店料・・・10月30日,3000
2023/10/31,その他の収入（4114）,カラフルPay商品券引換手数料,13695
2023/10/31,商品仕入高（5211）,野菜・・・辻青果,654808
2023/10/31,商品仕入高（5211）,たまご,37908
2023/10/31,商品仕入高（5211）,オロナミンC（トライアル）・・・10月16日,7990
2023/10/31,商品仕入高（5211）,伊藤園お茶ほか・・・10月10日,31259
2023/10/31,商品仕入高（5211）,伊藤園お茶ほか・・・10月16日,20908
2023/10/31,商品仕入高（5211）,伊藤園お茶ほか・・・10月23日,24753
2023/10/31,商品仕入高（5211）,伊藤園お茶ほか・・・10月30日,39286
2023/10/31,商品仕入高（5211）,佐賀牛ポテトチップほか・・・10月20日,45576
2023/10/31,商品仕入高（5211）,黒糖ドーナツ棒,27064
2023/10/31,商品仕入高（5211）,天ぷら・ちくわほか,22204
2023/10/31,商品仕入高（5211）,わさびドレッシングほか・・・10月20日,13392
2023/10/31,商品仕入高（5211）,ジャージーミックスほか,707940
2023/10/31,商品仕入高（5211）,ミルン牛乳・ヨーグルトほか,8682
2023/10/31,商品仕入高（5211）,いきさ屋豆腐,43127
2023/10/31,商品仕入高（5211）,野菜等袋代・・・アサヒ,66066
2023/10/31,商品仕入高（5211）,クロネコヤマト宅急便他運賃料,21604
2023/10/31,商品仕入高（5211）,ヤマト運輸振込手数料,550
2023/10/31,商品仕入高（5211）,ソフトクリーム用スプーン,9570
2023/10/31,商品仕入高（5211）,指定ごみ袋,28800
2023/10/31,商品仕入高（5211）,アルミ保温保冷バッグ,1430
2023/10/31,商品仕入高（5211）,チオビタドリンク・・・10月16日,3474
2023/10/31,販売員給与（6111）,パート（９名）,942920
2023/10/31,役員報酬（6211）,役員給与（１名）,250000
2023/10/31,従業員給与（6212）,従業員給与（１名）,205100
2023/10/31,法定福利費（6312）,唐津社会保険事務所社会保険料,136299
2023/10/31,厚生費（6226）,健康診断受診料,6700
2023/10/31,事務用消耗品費（6217）,電子複写機コピー代,2912
2023/10/31,事務用消耗品費（6217）,金庫用単三電池代,398
2023/10/31,事務用消耗品費（6217）,コピー用紙代,2640
2023/10/31,通信交通費（6218）,ＮＴＴファイナンス通話料,12623
2023/10/31,水道光熱費（6219）,電気料金,373857
2023/10/31,水道光熱費（6219）,水道料金,69227
2023/10/31,接待交際費（6223）,役員会飲み物代,750
2023/10/31,備品・消耗品費（6225）,トイレットペーパー代・・・10月10日,7920
2023/10/31,備品・消耗品費（6225）,トイレットペーパー代・・・10月20日,7920
2023/10/31,備品・消耗品費（6225）,トイレットペーパー代・・・10月30日,7920
2023/10/31,備品・消耗品費（6225）,シャボネットほか代,9827
2023/10/31,備品・消耗品費（6225）,クイックルワイパーハンディー代,499
2023/10/31,備品・消耗品費（6225）,ソフトカップディスペンサーほか代,4727
2023/10/31,備品・消耗品費（6225）,外掃除用ほうき代,1608
2023/10/31,備品・消耗品費（6225）,トイレマジックリン代,3830
2023/10/31,備品・消耗品費（6225）,歩道花飾り用土代,1794
2023/10/31,備品・消耗品費（6225）,ディスプレイ用テグス代,420
2023/10/31,備品・消耗品費（6225）,歩道飾り用花苗代,6000
2023/10/31,備品・消耗品費（6225）,蒸したまご用セイロ桶ほか代,17337
2023/10/31,備品・消耗品費（6225）,掃除機ノズル代,3051
2023/10/31,備品・消耗品費（6225）,コマンドフック代,1314
2023/10/31,備品・消耗品費（6225）,歩道飾り用花種代,660
2023/10/31,運営管理諸費（6227A）,くすもと税理士事務所顧問報酬,55000
2023/10/31,施設管理諸費（6227B）,中央警備保障機械警備料,37400
2023/10/31,施設管理諸費（6227B）,クリーン・リース代,2662
2023/10/31,施設管理諸費（6227B）,塵芥収集運搬料,60500
2023/10/31,施設管理諸費（6227B）,草払い処理業務,41800
2023/10/31,車両費（6228）,ハイゼットあいおいニッセイ同和損害保険自動車保険料,73340
2023/10/31,車両費（6228）,ガソリン代・・・JA唐津厳木SS・・・10月13日,3000
2023/10/31,車両費（6228）,ガソリン代・・・JA唐津厳木SS・・・10月27日,3000
2023/10/31,リース料（6234）,ソフトサーバーリース代,15510
2023/10/31,雑費(6231),コカ・コーラ振込手数料・・・10月18日分,660
2023/10/31,雑費(6231),JAバンクアンサーサービス手数料,1100
2023/10/31,雑費(6231),佐賀富士ベンディング振込手数料,660
2023/10/31,雑費(6231),振込手数料（牛津かまぼこ）,275
2023/10/31,雑費(6231),振込手数料（電気料）,440
2023/10/31,雑収入（7118）,雇用保険料預り（９月分）,5488
2023/11/30,商品売上高（4111）,野菜等,689610
2023/11/30,商品売上高（4111）,温泉たまご,92400
2023/11/30,商品売上高（4111）,あら塩・灘の塩（食塩）,1150
2023/11/30,商品売上高（4111）,オロナミンC（トライアル）,2970
2023/11/30,商品売上高（4111）,伊藤園お～いお茶・健康ミネラル麦茶ほか,182680
2023/11/30,商品売上高（4111）,黒糖・嬉野茶ドーナツ棒,34860
2023/11/30,商品売上高（4111）,白菜浅漬け・なす・きゅうりからし漬けの素,5630
2023/11/30,商品売上高（4111）,佐賀県産たまねぎスープ・海苔スープ・たまねぎチップ・佐賀牛ポテトチップ・明太子チップ,103050
2023/11/30,商品売上高（4111）,粉末うどん・ちゃんぽんスープ,850
2023/11/30,商品売上高（4111）,天ぷら・ちくわほか,25495
2023/11/30,商品売上高（4111）,わさびドレッシング・こいくち醬油・カレー,19455
2023/11/30,商品売上高（4111）,やまや（明太トースト）,3040
2023/11/30,商品売上高（4111）,いきさ屋（豆腐）,50160
2023/11/30,商品売上高（4111）,ミルン（ヨーグルト・チーズ・牛乳）,10660
2023/11/30,商品売上高（4111）,ソフトクリーム・コーン,831600
2023/11/30,商品売上高（4111）,くりあん玉,6160
2023/11/30,商品売上高（4111）,野菜袋・ソフトクリームカップ（アサヒ）,59720
2023/11/30,商品売上高（4111）,中島潔グッズ,107145
2023/11/30,商品売上高（4111）,クロネコヤマト宅急便,21895
2023/11/30,商品売上高（4111）,宅配料コレクト,3680
2023/11/30,商品売上高（4111）,道の駅切符,4680
2023/11/30,商品売上高（4111）,連絡線記念指定券,2000
2023/11/30,商品売上高（4111）,指定ごみ袋,25300
